ticker,name,exchange,request_status,quality_status,raw_rows,valid_rows,duplicate_dates,invalid_rows,first_date,last_date,post_2018_valid_rows,traded_since_2018,raw_bytes,suspicious_security_label
SDAC,Sustainable Development Acquisition I Corp,NASDAQ,success,clean,587,587,0,0,2021-03-30,2023-07-28,587,True,62701,False
SMDK,Smartdisk Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
SNTA,Synta Pharmaceuticals Corp,NASDAQ,success,clean,140,140,0,0,2016-01-04,2016-07-22,0,False,15986,False
SPAN,Span-America Medical Systems Inc,NASDAQ,success,clean,367,367,0,0,2016-01-04,2017-06-16,0,False,41521,False
SPPRP,Supertel Hospitality Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
SVTG,Savoir Technology Group Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
TLGT,Teligent Inc,NASDAQ,success,clean,1502,1502,0,0,2016-01-04,2021-12-17,999,True,164744,False
TPTX,Turning Point Therapeutics Inc,NASDAQ,success,clean,855,855,0,0,2019-04-17,2022-09-07,855,True,96560,False
TRPX,Therapix Biosciences Ltd,NASDAQ,success,clean,971,971,0,0,2016-05-24,2021-01-27,773,True,105282,False
TSBS,Peoples Bancorp Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
TSYS,TeleCommunication Systems Inc,NASDAQ,success,clean,35,35,0,0,2016-01-04,2016-02-23,0,False,3784,False
TYDE,Cryptyde Inc.,NASDAQ,success,clean,263,263,0,0,2022-05-18,2023-06-05,263,True,29273,False
USHS,Us Home Systems Inc,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
VENAW,Venus Acquisition Corporation,NASDAQ,success,clean,421,421,0,0,2021-04-13,2022-12-09,421,True,46641,False
VIBC,Vib Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
WPSC,Wheeling Pittsburgh Corp,NASDAQ,empty,no_rows,0,0,0,0,,,0,False,3,False
XGTIW,xG Technology Inc. WT EXP 071918,NASDAQ,success,clean,641,641,0,0,2016-01-04,2018-07-19,138,True,66784,False
ACIC-U,ACIC-U,NYSE,success,clean,287,287,0,0,2020-10-23,2021-12-17,287,True,30215,True
ADF-U,ADF-U,NYSE,success,clean,123,123,0,0,2021-06-01,2021-12-02,123,True,13476,True
AJRD,Aerojet Rocketdyne Holdings Inc,NYSE,success,clean,1904,1904,0,0,2016-01-04,2023-07-27,1401,True,217114,False
AMZ,American Medical Security Group Inc,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
APW,Apw Ltd,NYSE,empty,no_rows,0,0,0,0,,,0,False,3,False
